,ID,train,path,eva_nr,category,name,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,depature_delay_m
444,-7887272046041196420-2406250218-7,,Ismaning|Unterföhring|München-Johanneskirchen|München-Englschalking|München-Daglfing|München Leuchtenbergring,8000262,1,München Ost,Bayern,München,81667,11.604971,48.12744,2024-06-25 02:34:00,,2024-06-25 02:34:00,,0,0
445,-4321951582378922312-2406250223-10,8,München-Pasing|München-Laim|München Hirschgarten|München Donnersbergerbrücke|München Hackerbrücke|München Hbf (tief)|München Karlsplatz|München Marienplatz|München Isartor,8004136,3,München Rosenheimer Platz,Bayern,München,81669,11.593049,48.129168,2024-06-25 02:40:00,2024-06-25 02:40:00,2024-06-25 02:42:00,2024-06-25 02:42:00,2,2
446,-4321951582378922312-2406250223-13,8,München-Pasing|München-Laim|München Hirschgarten|München Donnersbergerbrücke|München Hackerbrücke|München Hbf (tief)|München Karlsplatz|München Marienplatz|München Isartor|München Rosenheimer Platz|München Ost|München Leuchtenbergring,8004143,5,München-Daglfing,Bayern,München,81929,11.64933,48.149622,2024-06-25 02:49:00,2024-06-25 02:51:00,2024-06-25 02:50:00,2024-06-25 02:51:00,1,0
447,-7887272046041196420-2406250218-5,8,Ismaning|Unterföhring|München-Johanneskirchen|München-Englschalking,8004143,5,München-Daglfing,Bayern,München,81929,11.64933,48.149622,2024-06-25 02:28:00,2024-06-25 02:29:00,2024-06-25 02:28:00,2024-06-25 02:29:00,0,0
448,-4321951582378922312-2406250223-14,8,München-Pasing|München-Laim|München Hirschgarten|München Donnersbergerbrücke|München Hackerbrücke|München Hbf (tief)|München Karlsplatz|München Marienplatz|München Isartor|München Rosenheimer Platz|München Ost|München Leuchtenbergring|München-Daglfing,8004144,5,München-Englschalking,Bayern,München,81925,11.648335,48.156915,2024-06-25 02:52:00,2024-06-25 02:52:00,2024-06-25 02:52:00,2024-06-25 02:53:00,0,1
449,-7887272046041196420-2406250218-4,8,Ismaning|Unterföhring|München-Johanneskirchen,8004144,5,München-Englschalking,Bayern,München,81925,11.648335,48.156915,2024-06-25 02:27:00,2024-06-25 02:27:00,2024-06-25 02:26:00,2024-06-25 02:27:00,-1,0
450,1095665159166765495-2406250131-14,1,München Leuchtenbergring|München Ost|München Rosenheimer Platz|München Isartor|München Marienplatz|München Karlsplatz|München Hbf (tief)|München Hackerbrücke|München Donnersbergerbrücke|München Hirschgarten|München-Laim|München-Moosach|München-Fasanerie,8004147,4,München-Feldmoching,Bayern,München,80995,11.541318,48.213813,2024-06-25 02:00:00,2024-06-25 02:01:00,2024-06-25 02:08:00,2024-06-25 02:08:00,8,7
451,-4321951582378922312-2406250223-15,8,München-Pasing|München-Laim|München Hirschgarten|München Donnersbergerbrücke|München Hackerbrücke|München Hbf (tief)|München Karlsplatz|München Marienplatz|München Isartor|München Rosenheimer Platz|München Ost|München Leuchtenbergring|München-Daglfing|München-Englschalking,8004149,5,München-Johanneskirchen,Bayern,München,80997,11.646058,48.167638,2024-06-25 02:54:00,2024-06-25 02:54:00,2024-06-25 02:54:00,2024-06-25 02:55:00,0,1
452,-7887272046041196420-2406250218-3,8,Ismaning|Unterföhring,8004149,5,München-Johanneskirchen,Bayern,München,80997,11.646058,48.167638,2024-06-25 02:25:00,2024-06-25 02:25:00,2024-06-25 02:24:00,2024-06-25 02:25:00,-1,0
453,-4321951582378922312-2406250223-2,8,München-Pasing,8004151,3,München-Laim Pbf,Bayern,München,80639,11.503669,48.144371,2024-06-25 02:26:00,2024-06-25 02:26:00,2024-06-25 02:28:00,2024-06-25 02:28:00,2,2
454,6043679275746423977-2406250138-16,8,Ismaning|Unterföhring|München-Johanneskirchen|München-Englschalking|München-Daglfing|München Leuchtenbergring|München Ost|München Rosenheimer Platz|München Isartor|München Marienplatz|München Karlsplatz|München Hbf (tief)|München Hackerbrücke|München Donnersbergerbrücke|München Hirschgarten,8004151,3,München-Laim Pbf,Bayern,München,80639,11.503669,48.144371,2024-06-25 02:10:00,2024-06-25 02:10:00,2024-06-25 02:12:00,2024-06-25 02:13:00,2,3
455,-4321951582378922312-2406250223-1,8,,8004158,2,München-Pasing,Bayern,München,81241,11.461872,48.149852,,2024-06-25 02:23:00,,2024-06-25 02:25:00,0,2
456,5049461118844353393-2406242155-17,,Wien Hbf|Wien Meidling|Tullnerfeld|St.Pölten Hbf|Amstetten NÖ|St. Valentin|Linz Hbf|Wels Hbf|Attnang-Puchheim|Vöcklabruck|Neumarkt am Wallersee|Salzburg Hbf|Freilassing|Traunstein|Rosenheim|München Ost,8004158,2,München-Pasing,Bayern,München,81241,11.461872,48.149852,2024-06-25 02:45:00,2024-06-25 02:48:00,2024-06-25 02:36:00,2024-06-25 02:48:00,-9,0
457,6043679275746423977-2406250138-17,,Ismaning|Unterföhring|München-Johanneskirchen|München-Englschalking|München-Daglfing|München Leuchtenbergring|München Ost|München Rosenheimer Platz|München Isartor|München Marienplatz|München Karlsplatz|München Hbf (tief)|München Hackerbrücke|München Donnersbergerbrücke|München Hirschgarten|München-Laim,8004158,2,München-Pasing,Bayern,München,81241,11.461872,48.149852,2024-06-25 02:13:00,,2024-06-25 02:15:00,,2,0
458,-6058665356135913865-2406250209-1,2,,8000263,2,Münster (Westf) Hbf,Nordrhein-Westfalen,Münster,48143,7.635715,51.956566,,2024-06-25 02:09:00,,2024-06-25 02:09:00,0,0
459,8322424274180843926-2406241928-14,,München Hbf|München-Pasing|Augsburg Hbf|Ulm Hbf|Stuttgart Hbf|Mannheim Hbf|Frankfurt(M) Flughafen Fernbf|Siegburg/Bonn|Köln Hbf|Düsseldorf Hbf|Duisburg Hbf|Essen Hbf|Dortmund Hbf,8000263,2,Münster (Westf) Hbf,Nordrhein-Westfalen,Münster,48143,7.635715,51.956566,2024-06-25 01:58:00,2024-06-25 02:00:00,2024-06-25 02:45:00,2024-06-25 02:47:00,47,47
460,-2129993292912858999-2406250056-31,,Holzkirchen|Otterfing|Sauerlach|Deisenhofen|Furth(b Deisenhofen)|Taufkirchen|Unterhaching|Fasanenpark|München-Fasangarten|München-Giesing|München St.Martin-Str.|München Ost|München Rosenheimer Platz|München Isartor|München Marienplatz|München Karlsplatz|München Hbf (tief)|München Hackerbrücke|München Donnersbergerbrücke|München Hirschgarten|München-Laim|München-Pasing|München-Langwied|München-Lochhausen|Gröbenzell|Olching|Esting|Gernlinden|Maisach|Malching(Oberbay),8004204,4,Mammendorf,Bayern,Mammendorf,82291,11.174618,48.216826,2024-06-25 02:16:00,,2024-06-25 02:16:00,,0,0
