,ID,train,path,eva_nr,category,name,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,depature_delay_m
0,-1623994736072630433-2406260253-1,4,,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,,2024-06-26 02:53:00,,2024-06-26 02:53:00,0,0
1,6993933470489090056-2406260102-26,,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr|Köln Messe/Deutz|Köln Hbf|Köln Hansaring|Köln-Ehrenfeld|Köln-Müngersdorf Technologiepark|Lövenich|Köln-Weiden West|Frechen-Königsdorf|Horrem|Sindorf|Buir|Merzenich|Düren|Langerwehe|Eschweiler Hbf|Stolberg(Rheinl)Hbf|Aachen-Rothe Erde,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,2024-06-26 02:49:00,,2024-06-26 02:51:00,,2,0
2,-4224688753184425181-2406260236-1,19,,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,,2024-06-26 02:36:00,,,0,0
3,6993933470489090056-2406260102-25,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr|Köln Messe/Deutz|Köln Hbf|Köln Hansaring|Köln-Ehrenfeld|Köln-Müngersdorf Technologiepark|Lövenich|Köln-Weiden West|Frechen-Königsdorf|Horrem|Sindorf|Buir|Merzenich|Düren|Langerwehe|Eschweiler Hbf|Stolberg(Rheinl)Hbf,8000406,4,Aachen-Rothe Erde,Nordrhein-Westfalen,Aachen,52066,6.116475,50.770202,2024-06-26 02:40:00,2024-06-26 02:40:00,2024-06-26 02:47:00,2024-06-26 02:48:00,7,8
4,-4224688753184425181-2406260236-2,19,Aachen Hbf,8000406,4,Aachen-Rothe Erde,Nordrhein-Westfalen,Aachen,52066,6.116475,50.770202,2024-06-26 02:39:00,2024-06-26 02:40:00,,,0,0
5,-1623994736072630433-2406260253-3,4,Aachen Hbf|Aachen Schanz,8000404,5,Aachen West,Nordrhein-Westfalen,Aachen,52072,6.070715,50.78036,2024-06-26 02:58:00,2024-06-26 02:59:00,2024-06-26 02:58:00,2024-06-26 02:59:00,0,0
6,-8948645518165560391-2406260202-6,8,Nauen|Brieselang|Finkenkrug|Falkensee|Seegefeld,8080040,5,Albrechtshof,Berlin,Berlin,13591,13.128917,52.549396,2024-06-26 02:21:00,2024-06-26 02:22:00,2024-06-26 02:21:00,2024-06-26 02:22:00,0,0
7,-8948645518165560391-2406260202-12,8,Nauen|Brieselang|Finkenkrug|Falkensee|Seegefeld|Albrechtshof|Berlin-Spandau|Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-06-26 02:51:00,2024-06-26 02:52:00,2024-06-26 02:51:00,2024-06-26 02:52:00,0,0
8,7451169596740133223-2406260152-4,8,Flughafen BER|Berlin Ostkreuz|Berlin Ostbahnhof,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-06-26 02:35:00,2024-06-26 02:36:00,2024-06-26 02:36:00,2024-06-26 02:37:00,1,1
9,-5545992856608576470-2406260058-26,9,Berlin-Spandau (S)|Berlin-Stresow|Berlin-Pichelsberg|Berlin Olympiastadion|Berlin Heerstraße|Berlin Messe Süd (Eichkamp)|Berlin Westkreuz|Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten|Berlin Bellevue|Berlin Hbf (S-Bahn)|Berlin Friedrichstraße (S)|Berlin Hackescher Markt|Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald|Berlin Baumschulenweg|Berlin-Schöneweide (S)|Berlin-Johannisthal|Berlin-Adlershof,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-06-26 02:02:00,2024-06-26 02:03:00,2024-06-26 02:04:00,2024-06-26 02:03:00,2,0
10,3463449426130693537-2406260209-5,9,Flughafen BER (S-Bahn)|Waßmannsdorf|Schönefeld(bei Berlin)|Berlin Grünbergallee,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-06-26 02:23:00,2024-06-26 02:23:00,2024-06-26 02:23:00,2024-06-26 02:23:00,0,0
11,2354169929884645246-2406260149-5,9,Flughafen BER (S-Bahn)|Waßmannsdorf|Schönefeld(bei Berlin)|Berlin Grünbergallee,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-06-26 02:03:00,2024-06-26 02:03:00,2024-06-26 02:03:00,2024-06-26 02:03:00,0,0
12,6510446403056565096-2406260113-9,40,München Hbf|München Ost|Markt Schwaben|Hörlkofen|Walpertskirchen|Thann-Matzbach|Dorfen Bahnhof|Schwindegg,8000576,5,Ampfing,Bayern,Ampfing,84539,12.410919,48.253949,2024-06-26 02:25:00,2024-06-26 02:25:00,2024-06-26 02:25:00,2024-06-26 02:25:00,0,0
13,-992357365793478644-2406260204-3,33,Krefeld Hbf|Forsthaus,8000584,5,Anrath,Nordrhein-Westfalen,Willich,47877,6.45023,51.285536,2024-06-26 02:11:00,2024-06-26 02:12:00,2024-06-26 02:11:00,2024-06-26 02:12:00,0,0
14,3454016189255486475-2406260021-14,EV,Nürnberg Hbf|Nürnberg-Schweinau|Nürnberg-Stein|Unterasbach|Oberasbach|Anwanden|Roßtal|Roßtal Wegbrücke|Raitersaich|Heilsbronn|Petersaurach Nord|Wicklesgreuth|Sachsen(b Ansbach),8000009,3,Ansbach,Bayern,Ansbach,91522,10.578239,49.298032,2024-06-26 02:08:00,2024-06-26 02:08:00,,,0,0
15,-6058665356135913865-2406260209-4,2,Münster(Westf)Hbf|Münster-Albachten|Senden-Bösensell,8000595,4,Nottuln-Appelhülsen,Nordrhein-Westfalen,Nottuln-Appelhülsen,48301,7.426334,51.892139,2024-06-26 02:23:00,2024-06-26 02:23:00,2024-06-26 02:22:00,2024-06-26 02:23:00,-1,0
16,6194893901306646476-2406251729-19,,Hamburg-Altona|Hamburg Dammtor|Hamburg Hbf|Hamburg-Harburg|Bremen Hbf|Osnabrück Hbf|Münster(Westf)Hbf|Dortmund Hbf|Bochum Hbf|Essen Hbf|Duisburg Hbf|Düsseldorf Hbf|Köln Hbf|Siegburg/Bonn|Frankfurt(M) Flughafen Fernbf|Mannheim Hbf|Stuttgart Hbf|Ulm Hbf,8000013,1,Augsburg Hbf,Bayern,Augsburg,86150,10.88557,48.365441,2024-06-26 02:20:00,2024-06-26 02:22:00,2024-06-26 02:19:00,2024-06-26 02:22:00,-1,0
17,-9167720142418455719-2406260129-3,,München Hbf|München-Pasing,8000013,1,Augsburg Hbf,Bayern,Augsburg,86150,10.88557,48.365441,2024-06-26 01:59:00,2024-06-26 02:01:00,2024-06-26 01:58:00,2024-06-26 02:01:00,-1,0
