,ID,train,path,eva_nr,category,name,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,depature_delay_m,info
0,-1251565744844871983-2407100236-1,19,,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,,2024-07-10 02:36:00,,,0,0,Bauarbeiten. (Quelle: zuginfo.nrw)
1,-1623994736072630433-2407100253-1,4,,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,,2024-07-10 02:53:00,,2024-07-10 02:53:00,0,0,
2,-5224680247171799867-2407100209-10,,Horrem|Sindorf|Buir|Merzenich|Düren|Langerwehe|Eschweiler Hbf|Stolberg(Rheinl)Hbf|Aachen-Rothe Erde,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,2024-07-10 02:52:00,,2024-07-10 02:53:00,,1,0,Bauarbeiten. (Quelle: zuginfo.nrw)
3,-1251565744844871983-2407100236-2,19,Aachen Hbf,8000406,4,Aachen-Rothe Erde,Nordrhein-Westfalen,Aachen,52066,6.116475,50.770202,2024-07-10 02:39:00,2024-07-10 02:40:00,,,0,0,Bauarbeiten. (Quelle: zuginfo.nrw)
4,-5224680247171799867-2407100209-9,19,Horrem|Sindorf|Buir|Merzenich|Düren|Langerwehe|Eschweiler Hbf|Stolberg(Rheinl)Hbf,8000406,4,Aachen-Rothe Erde,Nordrhein-Westfalen,Aachen,52066,6.116475,50.770202,2024-07-10 02:50:00,2024-07-10 02:50:00,2024-07-10 02:50:00,2024-07-10 02:50:00,0,0,Bauarbeiten. (Quelle: zuginfo.nrw)
5,-1623994736072630433-2407100253-3,4,Aachen Hbf|Aachen Schanz,8000404,5,Aachen West,Nordrhein-Westfalen,Aachen,52072,6.070715,50.78036,2024-07-10 02:58:00,2024-07-10 02:59:00,2024-07-10 02:58:00,2024-07-10 02:59:00,0,0,
6,7451169596740133223-2407100139-10,8,Flughafen BER|Berlin Ostkreuz|Berlin Ostbahnhof|Berlin Alexanderplatz|Berlin Friedrichstraße|Berlin Hbf|Berlin Zoologischer Garten|Berlin-Charlottenburg|Berlin-Spandau,8080040,5,Albrechtshof,Berlin,Berlin,13591,13.128917,52.549396,2024-07-10 02:37:00,2024-07-10 02:37:00,2024-07-10 02:37:00,2024-07-10 02:37:00,0,0,
7,2177444777121604897-2407100202-6,8,Nauen|Brieselang|Finkenkrug|Falkensee|Seegefeld,8080040,5,Albrechtshof,Berlin,Berlin,13591,13.128917,52.549396,2024-07-10 02:21:00,2024-07-10 02:22:00,2024-07-10 02:21:00,2024-07-10 02:22:00,0,0,
8,7451169596740133223-2407100139-4,8,Flughafen BER|Berlin Ostkreuz|Berlin Ostbahnhof,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-10 02:06:00,2024-07-10 02:07:00,2024-07-10 02:06:00,2024-07-10 02:07:00,0,0,
9,2177444777121604897-2407100202-12,8,Nauen|Brieselang|Finkenkrug|Falkensee|Seegefeld|Albrechtshof|Berlin-Spandau|Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-10 02:51:00,2024-07-10 02:52:00,2024-07-10 02:51:00,2024-07-10 02:52:00,0,0,
10,8960706921782290218-2407100133-24,1,Wedel(Holst)|Hamburg-Rissen|Hamburg-Sülldorf|Hamburg-Iserbrook|Hamburg-Blankenese|Hamburg Hochkamp|Hamburg Klein Flottbek|Hamburg-Othmarschen|Hamburg-Bahrenfeld|Hamburg-Ottensen|Hamburg-Altona(S)|Hamburg Königstraße|Hamburg Reeperbahn|Hamburg Landungsbrücken|Hamburg Stadthausbrücke|Hamburg Jungfernstieg|Hamburg Hbf (S-Bahn)|Hamburg Berliner Tor|Hamburg Landwehr|Hamburg Hasselbrook|Hamburg Wandsbeker Chaussee|Hamburg Friedrichsberg|Hamburg-Barmbek,8000512,4,Alte Wöhr,Hamburg,Hamburg,22307,10.035415,53.59793,2024-07-10 02:29:00,2024-07-10 02:29:00,2024-07-10 02:29:00,2024-07-10 02:29:00,0,0,
11,-5545992856608576470-2407100058-26,9,Berlin-Spandau (S)|Berlin-Stresow|Berlin-Pichelsberg|Berlin Olympiastadion|Berlin Heerstraße|Berlin Messe Süd (Eichkamp)|Berlin Westkreuz|Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten|Berlin Bellevue|Berlin Hbf (S-Bahn)|Berlin Friedrichstraße (S)|Berlin Hackescher Markt|Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald|Berlin Baumschulenweg|Berlin-Schöneweide (S)|Berlin-Johannisthal|Berlin-Adlershof,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-07-10 02:02:00,2024-07-10 02:03:00,2024-07-10 02:04:00,2024-07-10 02:04:00,2,1,
12,3463449426130693537-2407100209-5,9,Flughafen BER (S-Bahn)|Waßmannsdorf|Schönefeld(bei Berlin)|Berlin Grünbergallee,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-07-10 02:23:00,2024-07-10 02:23:00,2024-07-10 02:23:00,2024-07-10 02:23:00,0,0,
13,2354169929884645246-2407100149-5,9,Flughafen BER (S-Bahn)|Waßmannsdorf|Schönefeld(bei Berlin)|Berlin Grünbergallee,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-07-10 02:03:00,2024-07-10 02:03:00,2024-07-10 02:03:00,2024-07-10 02:03:00,0,0,
