,ID,train,path,eva_nr,category,name,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,depature_delay_m,info
0,-5397583228103808993-2407100316-1,19,,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,,2024-07-10 03:16:00,,2024-07-10 03:16:00,0,0,Bauarbeiten. (Quelle: zuginfo.nrw)
1,-5397583228103808993-2407100316-2,19,Aachen Hbf,8000406,4,Aachen-Rothe Erde,Nordrhein-Westfalen,Aachen,52066,6.116475,50.770202,2024-07-10 03:20:00,2024-07-10 03:20:00,2024-07-10 03:19:00,2024-07-10 03:20:00,-1,0,Bauarbeiten. (Quelle: zuginfo.nrw)
2,3262097249322916769-2407100241-4,8,Flughafen BER|Berlin Ostkreuz|Berlin Ostbahnhof,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-10 03:06:00,2024-07-10 03:07:00,2024-07-10 03:11:00,2024-07-10 03:12:00,5,5,
3,1507163401013910914-2407100305-5,,Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-10 03:20:00,2024-07-10 03:21:00,2024-07-10 03:20:00,2024-07-10 03:21:00,0,0,
4,700156942723660705-2407100334-5,8,Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-10 03:51:00,2024-07-10 03:52:00,2024-07-10 03:51:00,2024-07-10 03:52:00,0,0,
5,-199422321941227724-2407100320-5,,Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-10 03:34:00,2024-07-10 03:35:00,2024-07-10 03:34:00,2024-07-10 03:35:00,0,0,
6,4693049160569863660-2407100353-2,1,Plochingen,8000508,3,Altbach,Baden-Württemberg,Altbach,73776,9.382384,48.720393,2024-07-10 03:55:00,2024-07-10 03:55:00,,,0,0,Information
7,-6545478523499479289-2407100337-1,S5,,8010003,5,Altenburg,Thüringen,Altenburg,4600,12.444019,50.996648,,2024-07-10 03:37:00,,2024-07-10 03:37:00,0,0,
8,7265579896316843783-2407100302-19,9,Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten|Berlin Bellevue|Berlin Hbf (S-Bahn)|Berlin Friedrichstraße (S)|Berlin Hackescher Markt|Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald|Berlin Baumschulenweg|Berlin-Schöneweide (S)|Berlin-Johannisthal|Berlin-Adlershof,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-07-10 03:47:00,2024-07-10 03:47:00,2024-07-10 03:47:00,2024-07-10 03:47:00,0,0,
9,-869553568704520980-2407100305-11,9,Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald|Berlin Baumschulenweg|Berlin-Schöneweide (S)|Berlin-Johannisthal|Berlin-Adlershof,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-07-10 03:32:00,2024-07-10 03:32:00,2024-07-10 03:32:00,2024-07-10 03:32:00,0,0,
10,8457975387529600893-2407100020-11,,Dortmund Hbf|Gelsenkirchen Hbf|Essen Hbf|Düsseldorf Hbf|Köln Messe/Deutz Gl.11-12|Montabaur|Limburg Süd|Frankfurt(M) Flughafen Fernbf|Frankfurt(Main)Hbf|Hanau Hbf,8000010,2,Aschaffenburg Hbf,Bayern,Aschaffenburg,63739,9.143697,49.980557,2024-07-10 03:58:00,2024-07-10 04:03:00,2024-07-10 03:58:00,2024-07-10 04:03:00,0,0,
11,840575419992667689-2407100038-5,,München Hbf|Ingolstadt Hbf|Nürnberg Hbf|Würzburg Hbf,8000010,2,Aschaffenburg Hbf,Bayern,Aschaffenburg,63739,9.143697,49.980557,2024-07-10 03:45:00,2024-07-10 03:47:00,2024-07-10 04:06:00,2024-07-10 04:09:00,21,22,
12,5049461118844353393-2407092155-19,,Wien Hbf|Wien Meidling|Tullnerfeld|St.Pölten Hbf|Amstetten NÖ|St. Valentin|Linz Hbf|Wels Hbf|Attnang-Puchheim|Vöcklabruck|Neumarkt am Wallersee|Salzburg Hbf|Freilassing|Traunstein|Rosenheim|München Ost|München Hbf Gl.5-10|München-Pasing,8000013,1,Augsburg Hbf,Bayern,Augsburg,86150,10.88557,48.365441,2024-07-10 03:11:00,2024-07-10 03:13:00,2024-07-10 03:21:00,2024-07-10 03:22:00,10,9,Information
13,-1623994736072630433-2407100253-8,4,Aachen Hbf|Aachen Schanz|Aachen West|Herzogenrath|Übach-Palenberg|Geilenkirchen|Lindern,8000677,4,Hückelhoven-Baal,Nordrhein-Westfalen,Hückelhoven-Baal,41836,6.27280712,51.0329743,2024-07-10 03:27:00,2024-07-10 03:28:00,2024-07-10 03:27:00,2024-07-10 03:28:00,0,0,
14,-3405121308737868986-2407100356-1,3,,8000016,3,Backnang,Baden-Württemberg,Backnang,71522,9.425989,48.942676,,2024-07-10 03:56:00,,,0,0,Information
15,-2548994183414850777-2407100314-3,5,Bebra|Ludwigsau-Friedlos,8000020,3,Bad Hersfeld,Hessen,Bad Hersfeld,36251,9.716182,50.869632,2024-07-10 03:23:00,2024-07-10 03:24:00,,,0,0,
16,-6527908731319902016-2407100338-3,5,Friedrichsdorf(Taunus)|Seulberg,8000712,3,Bad Homburg,Hessen,Bad Homburg,61352,8.620624,50.219904,2024-07-10 03:44:00,2024-07-10 03:45:00,,,0,0,
17,-8745930355234119378-2407100033-5,,Berlin Hbf|Berlin Ostbahnhof|Dresden-Neustadt|Dresden Hbf,8010022,3,Bad Schandau,Sachsen,Bad Schandau,1814,14.1375375,50.9192886,2024-07-10 03:28:00,2024-07-10 03:29:00,2024-07-10 03:36:00,2024-07-10 03:37:00,8,8,
18,-138132356153188144-2407100317-9,1,Karlsruhe Hbf|Karlsruhe-Durlach|Weingarten(Baden)|Untergrombach|Bruchsal Bildungszentrum|Bruchsal|Ubstadt-Weiher|Stettfeld-Weiher,8003533,4,Bad Schönborn Süd,Baden-Württemberg,Bad Schönborn,76669,8.641924,49.200001,2024-07-10 03:44:00,2024-07-10 03:44:00,2024-07-10 03:44:00,2024-07-10 03:45:00,0,1,Störung
19,2230826486094175778-2407100351-2,RE83,Lübeck Hbf,8000749,5,Bad Schwartau,Schleswig-Holstein,Bad Schwartau,23611,10.702722,53.916276,2024-07-10 03:56:00,2024-07-10 03:56:00,2024-07-10 03:56:00,2024-07-10 03:56:00,0,0,
20,155992079699948133-2407100345-1,3,,8000752,5,Bad Soden (Taunus),Hessen,Bad Soden (Taunus),65812,8.50442648,50.1429607,,2024-07-10 03:45:00,,,0,0,
21,5345924912571245273-2407092134-14,,Hamburg-Altona|Hamburg Dammtor|Hamburg Hbf|Büchen|Ludwigslust|Wittenberge|Berlin-Spandau|Berlin Hbf|Berlin Südkreuz|Lutherstadt Wittenberg Hbf|Leipzig Hbf|Erfurt Hbf|Coburg,8000025,2,Bamberg,Bayern,Bamberg,96052,10.899489,49.900759,2024-07-10 03:13:00,2024-07-10 03:15:00,2024-07-10 03:16:00,2024-07-10 03:18:00,3,3,
22,-4264599631284267039-2407100312-16,9,Berlin Westkreuz|Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten|Berlin Bellevue|Berlin Hbf (S-Bahn)|Berlin Friedrichstraße (S)|Berlin Hackescher Markt|Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald,8089004,4,Baumschulenweg,Berlin,Berlin,12437,13.490097,52.467244,2024-07-10 03:47:00,2024-07-10 03:50:00,2024-07-10 03:47:00,2024-07-10 03:50:00,0,0,
23,7265579896316843783-2407100302-15,9,Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten|Berlin Bellevue|Berlin Hbf (S-Bahn)|Berlin Friedrichstraße (S)|Berlin Hackescher Markt|Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald,8089004,4,Baumschulenweg,Berlin,Berlin,12437,13.490097,52.467244,2024-07-10 03:34:00,2024-07-10 03:34:00,2024-07-10 03:34:00,2024-07-10 03:34:00,0,0,
24,-5974037389702895596-2407100342-5,9,Berlin-Grünau|Berlin-Adlershof|Berlin-Johannisthal|Berlin-Schöneweide (S),8089004,4,Baumschulenweg,Berlin,Berlin,12437,13.490097,52.467244,2024-07-10 03:55:00,2024-07-10 03:56:00,,,0,0,
25,-869553568704520980-2407100305-7,9,Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald,8089004,4,Baumschulenweg,Berlin,Berlin,12437,13.490097,52.467244,2024-07-10 03:19:00,2024-07-10 03:19:00,2024-07-10 03:19:00,2024-07-10 03:19:00,0,0,
26,-1693889192300063185-2407100359-1,50,,8000029,3,Bebra,Hessen,Bebra,36179,9.797788,50.969568,,2024-07-10 03:59:00,,,0,0,
27,-2548994183414850777-2407100314-1,5,,8000029,3,Bebra,Hessen,Bebra,36179,9.797788,50.969568,,2024-07-10 03:14:00,,,0,0,
28,-4264599631284267039-2407100312-6,9,Berlin Westkreuz|Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten,8089005,4,Bellevue,Berlin,Berlin,10557,13.348263,52.519955,2024-07-10 03:22:00,2024-07-10 03:23:00,2024-07-10 03:22:00,2024-07-10 03:23:00,0,0,
29,7265579896316843783-2407100302-5,9,Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten,8089005,4,Bellevue,Berlin,Berlin,10557,13.348263,52.519955,2024-07-10 03:10:00,2024-07-10 03:10:00,2024-07-10 03:10:00,2024-07-10 03:10:00,0,0,
30,-2063351183120734574-2407100344-7,5,Berlin-Grunewald|Berlin Westkreuz|Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten,8089005,4,Bellevue,Berlin,Berlin,10557,13.348263,52.519955,2024-07-10 03:57:00,2024-07-10 03:58:00,,,0,0,
31,2964630978341565241-2407100332-6,9,Berlin Westkreuz|Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten,8089005,4,Bellevue,Berlin,Berlin,10557,13.348263,52.519955,2024-07-10 03:42:00,2024-07-10 03:43:00,,,0,0,
32,-2665435153022489553-2407100341-1,7,,8010031,5,Bad Belzig,Brandenburg,Belzig,14806,12.594981,52.135969,,2024-07-10 03:41:00,,,0,0,
33,-2910165204535689153-2407100353-3,42,Berlin Treptower Park|Berlin Ostkreuz (S),8089013,3,Berlin Frankfurter Allee,Berlin,Berlin,10247,13.47441,52.515168,2024-07-10 03:58:00,2024-07-10 03:58:00,,,0,0,
34,-5867842893510111922-2407100345-7,41,Berlin Gesundbrunnen(S)|Berlin Schönhauser Allee|Berlin Prenzlauer Allee|Berlin Greifswalder Str|Berlin Landsberger Allee|Berlin Storkower Str,8089013,3,Berlin Frankfurter Allee,Berlin,Berlin,10247,13.47441,52.515168,2024-07-10 03:57:00,2024-07-10 03:58:00,,,0,0,
35,3609130455711901954-2407100343-3,42,Berlin Treptower Park|Berlin Ostkreuz (S),8089013,3,Berlin Frankfurter Allee,Berlin,Berlin,10247,13.47441,52.515168,2024-07-10 03:48:00,2024-07-10 03:48:00,,,0,0,
36,3262097249322916769-2407100241-5,8,Flughafen BER|Berlin Ostkreuz|Berlin Ostbahnhof|Berlin Alexanderplatz,8011306,2,Berlin-Friedrichstraße,Berlin,Berlin,10117,13.3872056,52.520373,2024-07-10 03:10:00,2024-07-10 03:11:00,2024-07-10 03:15:00,2024-07-10 03:16:00,5,5,
37,1507163401013910914-2407100305-4,,Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf,8011306,2,Berlin-Friedrichstraße,Berlin,Berlin,10117,13.3872056,52.520373,2024-07-10 03:17:00,2024-07-10 03:18:00,2024-07-10 03:17:00,2024-07-10 03:18:00,0,0,
38,700156942723660705-2407100334-4,8,Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf,8011306,2,Berlin-Friedrichstraße,Berlin,Berlin,10117,13.3872056,52.520373,2024-07-10 03:47:00,2024-07-10 03:48:00,2024-07-10 03:47:00,2024-07-10 03:48:00,0,0,
