,ID,train,path,eva_nr,category,name,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,depature_delay_m,info
0,7950179849560943381-2407080335-1,19,,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,,2024-07-08 03:35:00,,,0,0,
1,7950179849560943381-2407080335-2,19,Aachen Hbf,8000406,4,Aachen-Rothe Erde,Nordrhein-Westfalen,Aachen,52066,6.116475,50.770202,2024-07-08 03:38:00,2024-07-08 03:38:00,,,0,0,
2,1507163401013910914-2407080305-5,,Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-08 03:20:00,2024-07-08 03:21:00,2024-07-08 03:20:00,2024-07-08 03:21:00,0,0,
3,3262097249322916769-2407080241-4,8,Flughafen BER|Berlin Ostkreuz|Berlin Ostbahnhof,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-08 03:06:00,2024-07-08 03:07:00,2024-07-08 03:07:00,2024-07-08 03:08:00,1,1,
4,-199422321941227724-2407080320-5,,Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-08 03:34:00,2024-07-08 03:35:00,2024-07-08 03:34:00,2024-07-08 03:35:00,0,0,
5,700156942723660705-2407080334-5,8,Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-08 03:51:00,2024-07-08 03:52:00,2024-07-08 03:51:00,2024-07-08 03:52:00,0,0,
6,4693049160569863660-2407080353-2,1,Plochingen,8000508,3,Altbach,Baden-Württemberg,Altbach,73776,9.382384,48.720393,2024-07-08 03:55:00,2024-07-08 03:55:00,,,0,0,Information
7,-6545478523499479289-2407080337-1,S5,,8010003,5,Altenburg,Thüringen,Altenburg,4600,12.444019,50.996648,,2024-07-08 03:37:00,,2024-07-08 03:37:00,0,0,
8,7265579896316843783-2407080302-19,9,Berlin Charlottenburg (S)|Berlin Savignyplatz|Berlin Zoologischer Garten (S)|Berlin-Tiergarten|Berlin Bellevue|Berlin Hbf (S-Bahn)|Berlin Friedrichstraße (S)|Berlin Hackescher Markt|Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald|Berlin Baumschulenweg|Berlin-Schöneweide (S)|Berlin-Johannisthal|Berlin-Adlershof,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-07-08 03:47:00,2024-07-08 03:47:00,2024-07-08 03:47:00,2024-07-08 03:47:00,0,0,
9,-869553568704520980-2407080305-11,9,Berlin Alexanderplatz (S)|Berlin Jannowitzbrücke|Berlin Ostbahnhof (S)|Berlin Warschauer Straße|Berlin Treptower Park|Berlin Plänterwald|Berlin Baumschulenweg|Berlin-Schöneweide (S)|Berlin-Johannisthal|Berlin-Adlershof,8089054,4,Altglienicke,Berlin,Berlin,12524,13.558753,52.407299,2024-07-08 03:32:00,2024-07-08 03:32:00,2024-07-08 03:32:00,2024-07-08 03:32:00,0,0,
10,8457975387529600893-2407080020-11,,Dortmund Hbf|Gelsenkirchen Hbf|Essen Hbf|Düsseldorf Hbf|Köln Messe/Deutz Gl.11-12|Montabaur|Limburg Süd|Frankfurt(M) Flughafen Fernbf|Frankfurt(Main)Hbf|Hanau Hbf,8000010,2,Aschaffenburg Hbf,Bayern,Aschaffenburg,63739,9.143697,49.980557,2024-07-08 03:58:00,2024-07-08 04:00:00,2024-07-08 04:18:00,2024-07-08 04:20:00,20,20,Störung
11,840575419992667689-2407080036-5,,München Hbf|Ingolstadt Hbf|Nürnberg Hbf|Würzburg Hbf,8000010,2,Aschaffenburg Hbf,Bayern,Aschaffenburg,63739,9.143697,49.980557,2024-07-08 03:48:00,2024-07-08 03:50:00,2024-07-08 04:03:00,2024-07-08 04:05:00,15,15,Störung
12,1348020220601344513-2407080352-3,5,Bietigheim-Bissingen|Tamm(Württ),8000630,4,Asperg,Baden-Württemberg,Asperg,71679,9.147797,48.907359,2024-07-08 03:57:00,2024-07-08 03:58:00,,,0,0,Information
13,5049461118844353393-2407072155-19,,Wien Hbf|Wien Meidling|Tullnerfeld|St.Pölten Hbf|Amstetten NÖ|St. Valentin|Linz Hbf|Wels Hbf|Attnang-Puchheim|Vöcklabruck|Neumarkt am Wallersee|Salzburg Hbf|Freilassing|Traunstein|Rosenheim|München Ost|München Hbf Gl.5-10|München-Pasing,8000013,1,Augsburg Hbf,Bayern,Augsburg,86150,10.88557,48.365441,2024-07-08 03:11:00,2024-07-08 03:13:00,2024-07-08 03:50:00,2024-07-08 03:51:00,39,38,Information
14,-3405121308737868986-2407080356-1,3,,8000016,3,Backnang,Baden-Württemberg,Backnang,71522,9.425989,48.942676,,2024-07-08 03:56:00,,,0,0,Information
