,eva_nr,name,category,state,city,zipcode,street,long,lat
1628,8000128,Göttingen,2,Niedersachsen,Göttingen,37073,Bahnhofsplatz 1,9.926072,51.536815
1629,8002337,Gottmadingen,4,Baden-Württemberg,Gottmadingen,78244,Johann-Georg-Fahr-Str. 11,8.77543,47.737401
1630,8011662,Götz,6,Brandenburg,Groß Kreutz (Havel),14550,Zum Bahnhof 1,12.725983,52.411224
1631,8002315,Dreieich-Götzenhain,6,Hessen,Dreieich,63303,Ringwaldstraße 26,8.7322,49.994216
1632,8000131,Graben-Neudorf,3,Baden-Württemberg,Graben-Neudorf,76676,Bahnhofstraße 43,8.49063,49.161797
1633,8002345,Graben-Neudorf Nord,6,Baden-Württemberg,Graben-Neudorf,76676,Molzaustr. 1,8.494096,49.177958
1634,8011681,Grabow (Meckl),6,Mecklenburg-Vorpommern,Grabow ,19300,Am Bahnhof 3,11.564201,53.282902
1635,8002339,Gräfelfing,4,Bayern,Gräfelfing,82166,Bahnhofstr. 111,11.425571,48.119774
1636,8002343,Grafenaschau,7,Bayern,Murnau,82418,Moosrainer Straße 1,11.1374,47.667029
1637,8002344,Grafenau,7,Bayern,Grafenau,94481,Bahnhofsplatz 14,13.393327,48.856168
1638,8002340,Gräfenberg,6,Bayern,Gräfenberg,91322,Bahnhofstr. 50,11.2503648,49.6416263
1639,8002341,Gräfendorf,6,Bayern,Gräfendorf,97782,Am Bahnhof 6,9.737162,50.118279
1640,8011683,Gräfenhainichen,6,Sachsen-Anhalt,Gräfenhainichen,06773,Eisenbahnstr. 2,12.460037,51.724731
1641,8010137,Gräfenroda,6,Thüringen,Gräfenroda,99330,Am Bahnhof 11,10.833007,50.758894
1642,8011685,Gräfenstuhl-Klippmühle,7,Sachsen-Anhalt,Mansfeld,06343,Landesstraße K 2337,11.404245,51.602149
1643,8011687,Gräfentonna,7,Thüringen,Tonna,99958,Bahnhofstraße 1,10.733617,51.089734
1644,8002347,Grafing Bahnhof,3,Bayern,Grafing,85567,Hauptstr. 31,11.940423,48.043226
1645,8002348,Grafing Stadt,5,Bayern,Grafing,85567,Bahnhofsplatz 1,11.962758,48.047217
1646,8002351,Grafrath,5,Bayern,Grafrath,82284,Bahnhofstr. 98,11.153259,48.132096
1647,8011689,Grambow,7,Mecklenburg-Vorpommern,Grambow,17322,Bahnhofstr. 8,14.347457,53.417381
1648,8011691,Gransee,5,Brandenburg,Gransee,16775,Bahnhofstr. 3,13.16712,53.001076
1649,8002342,Gräveneck,6,Hessen,Weinbach,35796,Bahnhofstr. 15,8.250757,50.451905
1650,8002358,Grebenstein,5,Hessen,Grebenstein,34393,Bahnhofstr. 24,9.420533,51.447238
1651,8010139,Greifswald,4,Mecklenburg-Vorpommern,Greifswald,17489,Bahnhofstr. 43,13.370262,54.092923
1652,8011694,Greifswald Süd,6,Mecklenburg-Vorpommern,Greifswald,17491,Hans - Beimler Str. 104,13.396656,54.076443
1653,8010140,Greiz,6,Thüringen,Greiz,07973,Poststr. 12,12.1944648,50.652974
1654,8011697,Greiz-Dölau,6,Thüringen,Greiz,07973,Plauensche Str. 46,12.1852165,50.6308785
1655,8002365,Grenzach,5,Baden-Württemberg,Grenzach-Wyhlen,79639,Scheffelstr. 1,7.659506,47.5509
1656,8011699,Greppin,6,Sachsen-Anhalt,Bitterfeld-Wolfen,06803,Bahnhofstr. 1,12.297969,51.645358
1657,8011700,Greußen,6,Thüringen,Greußen,99718,Bahnhofstr. 1,10.9414762,51.2291337
1658,8002369,Greven,3,Nordrhein-Westfalen,Greven,48268,Biederlackstr. 6,7.599341,52.089829
1659,8000133,Grevenbroich,4,Nordrhein-Westfalen,Grevenbroich,41515,Bahnhofsvorplatz 17,6.580447,51.093701
1660,8002370,Lennestadt-Grevenbrück,5,Nordrhein-Westfalen,Lennestadt,57368,Bahnhofsplatz 1,8.017977,51.141781
1661,8010141,Grevesmühlen,6,Mecklenburg-Vorpommern,Grevesmühlen,23936,Am Bahnhof 1,11.184712,53.857468
1662,8011702,Grieben (Meckl),6,Mecklenburg-Vorpommern,Grieben ,23936,Am Bahnhof 2,11.068569,53.851233
1663,8011695,Potsdam Griebnitzsee,4,Brandenburg,Potsdam,14482,Rudolf-Breitscheid-Str. 201,13.1287265,52.3944323
1664,8011703,Griebo,6,Sachsen-Anhalt,Wittenberg,06886,Am Grieboer Bahnhof,12.522977,51.880576
1665,8084070,Griefstedt,7,Thüringen,Griefstedt,99638,Am Bahnhof 1,11.1367142,51.2305311
1666,8017041,Griesen (Oberbay),7,Bayern,Garmisch-Partenkirchen,82467,Griesen 1,10.94612,47.478217
1667,8002373,Grießen (Baden),7,Baden-Württemberg,Klettgau-Grießen,79771,Industriestr. 8,8.396003,47.628432
1668,8002374,Edermünde-Grifte,5,Hessen,Edermünde-Grifte,34295,Bahnhofstraße 2,9.448855,51.209958
1669,8011705,Grimma ob Bf,5,Sachsen,Grimma,04668,Bahnhofstr. 2,12.714131,51.230076
1670,8011707,Grimmen,6,Mecklenburg-Vorpommern,Grimmen,18507,Bahnhofstraße 19,13.034025,54.109739
1671,8010142,Grimmenthal,6,Thüringen,Grimmenthal,98617,Am Bahnhof 78,10.450512,50.532953
1672,8011709,Grobau,7,Sachsen,Burgstein,08538,Am Bahnhof 23,11.943905,50.432302
1673,8002377,Gröbenzell,4,Bayern,Gröbenzell,82194,Kirchstr. 1,11.374107,48.194919
1674,8011711,Gröbers,5,Sachsen-Anhalt,Gröbers,06184,Am Alten Bahnhof,12.1168256,51.4323471
1675,8011712,Gröditz (b Riesa),6,Sachsen,Gröditz ,01609,Bahnhofstr. 2,13.439542,51.411468
1676,8002380,Grombach,6,Baden-Württemberg,Bad Rappenau,74906,Eisenbahnstraße 19,8.996902,49.226145
1677,8002382,Bad Vilbel-Gronau,6,Hessen,Bad Vilbel,61118,Bachwiesenstraße 9 a,8.783203,50.191529
1678,8000382,Gronau (Westf),5,Nordrhein-Westfalen,Gronau (Westf),48599,Bahnhofstr. 41,7.022436,52.215107
1679,8002378,Bad Grönenbach,6,Bayern,Bad Grönenbach,87730,Unterthal 10,10.253715,47.882468
1680,8002383,Gronsdorf,4,Bayern,Haar,85540,Bahnstr.,11.698619,48.118401
1681,8011714,Groß Ammensleben,6,Sachsen-Anhalt,Groß Ammensleben,39326,Bahnhofstr. 19,11.525417,52.235646
1682,8011718,Groß Brütz,6,Mecklenburg-Vorpommern,Brüsewitz,19071,Dorfstr. 1,11.251439,53.653088
1683,8013447,Zwenkau-Großdalzig,6,Sachsen,Zwenkau,04442,Hauptstr. 50,12.271154,51.208264
1684,8000136,Groß Gerau,4,Hessen,Groß Gerau,64521,Sudetenstr. 62,8.486215,49.924934
1685,8002386,Groß Gerau-Dornberg,3,Hessen,Groß Gerau-Dornberg,64521,Darmstädter Str. 94,8.494709,49.912279
1686,8002388,Groß Karben,4,Hessen,Karben,61184,Bahnhofstr. 200,8.753528,50.23184
1687,8011723,Groß Kiesow,6,Mecklenburg-Vorpommern,Groß Kiesow,17495,Bahnhofstr.,13.480617,54.013721
1688,8002389,Frechen-Königsdorf,5,Nordrhein-Westfalen,Frechen,50226,Aachenerstr. 549,6.777846,50.936501
1689,8011725,Groß Kreutz,6,Brandenburg,Groß Kreutz (Havel),14550,Bahnhofstr. 7,12.776335,52.410761
1690,8011726,Groß Laasch,7,Mecklenburg-Vorpommern,Groß Laasch,19288,An der Ludwigsluster Chaussee 9,11.534139,53.346481
1691,8011729,Groß Lüsewitz,7,Mecklenburg-Vorpommern,Sanitz,18190,Zum Buchenkopf 2,12.339221,54.073407
1692,8011730,Groß Pankow,6,Brandenburg,Groß Pankow,16928,Chausseestr. 1,12.047421,53.123014
1693,8002391,Groß Rohrheim,5,Hessen,Groß Rohrheim,68649,Bahnhofstr. 27,8.476857,49.714066
1694,8011735,Groß Schwaß,6,Mecklenburg-Vorpommern,Kritzmow,18198,Am Bahnhof 1,12.04612,54.077026
1695,8002393,Groß Umstadt Mitte,6,Hessen,Groß Umstadt,64823,St. Peray-Str. 9,8.924171,49.865213
1696,8002399,Großarmschlag,7,Bayern,Grafenau,94481,Kreuzberger Weg,13.375921,48.885723
1697,8002400,Großauheim (Kr Hanau),5,Hessen,Hanau,63457,Bahnhofstr. 16,8.943902,50.107054
1698,8011740,Großbeeren,6,Brandenburg,Großbeeren,14979,Am Bahnhof 6,13.28477,52.350673
1699,8010144,Großbothen,5,Sachsen,Großbothen,04668,Bahnhofstr. 1,12.7591395,51.184007
1700,8002402,Großbüllesheim,6,Nordrhein-Westfalen,Euskirchen,53881,Derkumer Str. 71,6.816188,50.686747
1701,8002403,Großburgwedel,5,Niedersachsen,Burgwedel,30938,Bahnhofstr. 49,9.858535,52.50682
1702,8011745,Großdeuben,6,Sachsen,Böhlen,04564,Lindenstr. 1,12.383193,51.232352
1703,8002405,Groß Düngen,6,Niedersachsen,Bad Salzdetfurth,31162,Bahnhofsallee 7,10.020077,52.09773
1704,8002409,Großen Buseck,6,Hessen,Buseck,35418,Bahnhofstr. 14,8.782999,50.60574
1705,8002410,Großen Linden,5,Hessen,Linden,35440,Bahnhofstr. 122,8.66209745,50.5282971
1706,8011746,Großengottern,6,Thüringen,Großengottern,99991,Bahnhofstr. 26,10.556041,51.144503
1707,8011749,Großenhain Cottb Bf,5,Sachsen,Großenhain,01558,Bahnhofstr. 4,13.523916,51.291636
1708,8002412,Großenkneten,6,Niedersachsen,Großenkneten,26197,Am Bahnhof 10,8.241136,52.945057
1709,8002413,Großenlüder,6,Hessen,Großenlüder,36137,Am Bahnhof 1,9.550001,50.592936
1710,8011750,Großfurra,6,Thüringen,Sondershausen OT Großfurr,99706,Rumbachstraße ,10.802815,51.398882
1711,8002416,Großgeschaidt,7,Bayern,Heroldsberg,90562,Großgeschaidt 1,11.172204,49.565031
1712,8011751,Großharthau,6,Sachsen,Großharthau,01909,Bahnhofstraße 8,14.087646,51.102124
1713,8002420,Großhelfendorf,6,Bayern,Aying,85655,Bahnhofstr.,11.78126,47.94606
1714,8010145,Großheringen,5,Thüringen,Großheringen,99518,Sulzaer Str. 3,11.657745,51.105981
1715,8002422,Großhesselohe Isartalbahnhof,5,Bayern,Pullach,82049,Sollner Str.,11.530945,48.071068
1716,8002424,Großkarolinenfeld,6,Bayern,Großkarolinenfeld,83109,Bahnhofstr. 24,12.084824,47.888827
1717,8010146,Großkorbetha,4,Sachsen-Anhalt,Großkorbetha,06688,Am Bahnhof 3,12.022171,51.267318
1718,8002425,Großkrotzenburg,5,Hessen,Großkrotzenburg,63538,Bahnhofstr. 1,8.982792,50.087726
1719,8011752,Großkugel,6,Sachsen-Anhalt,Kabelsketal,06184,Am Bahnhof 1,12.1653682,51.4184491
1720,8011753,Großlehna,6,Sachsen,Markranstädt,04420,Bahnhofstr. 14,12.168818,51.304806
1721,8011754,Großneuhausen,6,Thüringen,Großneuhausen,99625,Bahnhofstr. 28,11.286163,51.164516
1722,8011755,Großpösna,6,Sachsen,Großpösna,04463,Magdeborner Str. 49,12.488839,51.266709
1723,8011756,Großräschen,6,Brandenburg,Großräschen,01983,Bahnhofstr. 1,14.014898,51.591488
1724,8011758,Großröhrsdorf,6,Sachsen,Großröhrsdorf,01900,Am Bahnhof 2,14.0173101,51.1485187
1725,8011759,Großrudestedt,6,Thüringen,Großrudestedt,99195,Bahnhofstr. 27,11.091093,51.09565
1726,8002430,Heddesheim/Hirschberg,5,Baden-Württemberg,Heddesheim,68542,Am Bundesbahnhof 18,8.633746,49.509408
1727,8011761,Großschönau (Sachs),6,Sachsen,Großschönau,02779,Bahnhofstr. 13,14.66545,50.892556
1728,8011762,Großschwabhausen,6,Thüringen,Großschwabhausen,99441,Am Bahnhof 69,11.481934,50.936958
1729,8011763,Großsteinberg,6,Sachsen,Parthenstein,04668,Bahnhofstr. 1,12.637415,51.250586
1730,8002432,Großwalbur,7,Bayern,Meeder,96484,Bahnsteigweg,10.849282,50.32719
