,stationID,stationCategory,names,state,city,postalCode,street,position_long,position_lat
3586,5260,CATEGORY_4,Rheydt Hbf,Nordrhein-Westfalen,Mönchengladbach,41236,Bahnhofstr.,6.439564,51.163027
3587,5261,CATEGORY_6,Rheydt-Odenkirchen,Nordrhein-Westfalen,Mönchengladbach,41199,Korbleiche,6.446169,51.137847
3588,5263,CATEGORY_5,Rhöndorf,Nordrhein-Westfalen,Bad Honnef,53604,Löwenburgstr.,7.210214,50.657876
3589,5264,CATEGORY_6,Ribnitz-Damgarten Ost,Mecklenburg-Vorpommern,Ribnitz,18311,Richtenbergerstr.,12.487015,54.251016
3590,5265,CATEGORY_4,Ribnitz-Damgarten West,Mecklenburg-Vorpommern,Ribnitz,18311,Bahnhofstraße,12.436965,54.239176
3591,5266,CATEGORY_6,Richen (b Eppingen),Baden-Württemberg,Eppingen,75031,Hans-Wiesner-Straße,8.936554,49.167846
3592,5268,CATEGORY_6,Ried,Hessen,Ebersburg-Ried,36157,Sandgasse,9.769765,50.459238
3593,527,CATEGORY_2,Berlin-Friedrichstraße,Berlin,Berlin,10117,Friedrichstraße,13.3872056,52.520373
3594,5270,CATEGORY_7,Riederau,Bayern,Dießen a. Ammersee,86911,Bahnhofplatz,11.097153,47.982581
3595,5271,CATEGORY_6,Riedlingen,Baden-Württemberg,Riedlingen,88499,Bahnhofstraße,9.484927,48.149595
3596,5272,CATEGORY_7,Riedrode,Hessen,Bürstadt,68642,Am Sportplatz,8.49595,49.647488
3597,5273,CATEGORY_5,Riegel-Malterdingen,Baden-Württemberg,Riegel,79359,Bahnhofstr.,7.77085,48.151969
3598,5274,,Riehen,Schweiz CH,Riehen ,4125,Bahnhofstr.,7.652014,47.583157
3599,5275,CATEGORY_6,Rieneck,Bayern,Rieneck,97794,Bahnhofstr.,9.664138,50.091664
3600,5276,CATEGORY_3,Riesa,Sachsen,Riesa,01587,Bahnhofstr.,13.287734,51.309654
