FID,geom,mifcode,strecke_nr,richtung,laenge,von_km_i,bis_km_i,von_km_l,bis_km_l,elektrifiz,bahnnutzun,geschwindi,strecke_ku,gleisanzah,bahnart,kmspru_typ,kmspru_t00
2019-01_DB-Netz-MRN_4326.1,"MULTILINESTRING ((7.906427815330511 49.44433004732373, 7.908346 49.444533, 7.90835 49.444534))",xka_mrk_830,3280,0,2300,105220000,105450000,"52,2 + 0","54,5 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.2,"MULTILINESTRING ((7.90835 49.444534, 7.909027 49.444604, 7.909711 49.444659, 7.910399 49.444689, 7.911088 49.444693, 7.911776 49.444667, 7.912461 49.444612, 7.913138 49.444528, 7.913809 49.444425, 7.91648 49.443978, 7.917428 49.443818, 7.917815 49.443753, 7.920486 49.443305, 7.921821 49.443081, 7.922485 49.442959, 7.923143 49.442827, 7.923794 49.442679, 7.924438 49.442518, 7.925073 49.442344, 7.9257 49.442156, 7.926316 49.441955, 7.926923 49.441741, 7.927517 49.441513, 7.928102 49.441276, 7.930407 49.440289, 7.932729 49.439292, 7.933887 49.438796, 7.934465 49.438551, 7.935056 49.43832, 7.93567 49.438115, 7.936304 49.437941, 7.936961 49.437805, 7.937634 49.437709, 7.938319 49.437656, 7.939007 49.437648, 7.939693 49.437688, 7.94037 49.437772, 7.941031 49.437897, 7.941682 49.438047, 7.942971 49.438365, 7.943628 49.438504, 7.944295 49.438614, 7.944977 49.438679, 7.945665 49.438701, 7.946353 49.438676, 7.947034 49.43861, 7.947703 49.438502, 7.948361 49.438367, 7.950973 49.437791, 7.952279 49.437503, 7.952936 49.437367, 7.953601 49.437249, 7.954278 49.437165, 7.954962 49.437112, 7.955651 49.437093, 7.95634 49.437107, 7.957025 49.437153, 7.957704 49.437231, 7.958373 49.43734, 7.959027 49.437481, 7.959662 49.437655, 7.960283 49.43785, 7.962735 49.438672, 7.963369 49.438849, 7.964018 49.438999, 7.964685 49.439113, 7.965365 49.439187, 7.966052 49.439221, 7.966741 49.439215, 7.967425 49.439166, 7.968107 49.439095, 7.969467 49.43895, 7.969645 49.438938, 7.969824 49.438927, 7.970334 49.43891, 7.970843 49.438909, 7.972216 49.438993, 7.973588 49.439069, 7.974961 49.439, 7.975633 49.438902, 7.976289 49.438764, 7.976923 49.438588, 7.977529 49.438373, 7.978104 49.438126, 7.978636 49.437845))",xka_mrk_830,3280,0,5402,105450000,105990000,"54,5 + 0","59,9 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.3,"MULTILINESTRING ((7.978636 49.437845, 7.97864 49.437843, 7.979131 49.437528, 7.979571 49.437182, 7.979957 49.43681, 7.980283 49.436414, 7.980548 49.435999, 7.980746 49.435569, 7.980878 49.435128, 7.98094 49.43468, 7.980934 49.434231, 7.980858 49.433784, 7.980709 49.433346, 7.980508 49.432916, 7.980016 49.432076, 7.979844 49.431641, 7.979743 49.431197, 7.979745 49.430749, 7.979809 49.430302))",xka_mrk_830,3280,0,900,105990000,106080000,"59,9 + 0","60,8 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.4,"MULTILINESTRING ((7.979809 49.430302, 7.979809 49.430301, 7.979963 49.429407, 7.980178 49.428519, 7.980402 49.427175, 7.980914 49.425871, 7.981196 49.425464, 7.981541 49.425072, 7.981947 49.424709, 7.982398 49.42437, 7.983373 49.423735, 7.984405 49.423138, 7.986423 49.421913, 7.98844 49.420688, 7.990458 49.419462, 7.991447 49.418836, 7.991952 49.41853, 7.992482 49.418244, 7.993052 49.417991, 7.993657 49.417778, 7.9943 49.417618, 7.994965 49.4175, 7.996323 49.417349, 7.996998 49.417254, 7.997659 49.41713, 7.998297 49.416961, 7.998901 49.416746, 7.999457 49.416481, 7.99997 49.416186))",xka_mrk_830,3280,0,2300,106080000,106310000,"60,8 + 0","63,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.5,"MULTILINESTRING ((7.99997 49.416186, 7.999973 49.416184, 8.000966 49.415561, 8.001923 49.414913, 8.002897 49.414277, 8.00387 49.413641, 8.004868 49.413021, 8.006801 49.41176, 8.008747 49.410487, 8.009238 49.410172, 8.009719 49.40985, 8.010191 49.409522, 8.010628 49.409175, 8.011003 49.408799, 8.011324 49.408401, 8.011582 49.407985, 8.011806 49.40756, 8.012016 49.407131, 8.012233 49.406705, 8.012487 49.406287, 8.012779 49.40588, 8.013123 49.405491, 8.013507 49.405118, 8.01393 49.404763, 8.014375 49.40442, 8.016156 49.403048, 8.017937 49.401676, 8.019718 49.400304, 8.020588 49.399606, 8.021517 49.398942, 8.022024 49.398638, 8.022548 49.398347, 8.023643 49.397802, 8.024768 49.397283, 8.026991 49.396221, 8.027553 49.39596, 8.028101 49.395688, 8.028108 49.395684))",xka_mrk_830,3280,0,3099,106310000,106620000,"63,1 + 0","66,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.6,"MULTILINESTRING ((8.028108 49.395684, 8.028624 49.395395, 8.029119 49.395084, 8.030791 49.393657, 8.031289 49.393349, 8.031833 49.393072, 8.03242 49.392837, 8.033043 49.392646, 8.033695 49.392499, 8.034363 49.392394, 8.037105 49.392236, 8.037777 49.392141, 8.038434 49.392007, 8.038448 49.392003))",xka_mrk_830,3280,0,900,106620000,106710000,"66,2 + 0","67,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.7,"MULTILINESTRING ((8.038448 49.392003, 8.039065 49.391827, 8.039664 49.391605, 8.04022 49.391341, 8.040746 49.39105, 8.041783 49.390459, 8.042778 49.389837, 8.043273 49.389524, 8.043734 49.389191, 8.044138 49.388827, 8.044484 49.388438, 8.044768 49.388029, 8.044986 49.387603, 8.045131 49.387164, 8.045221 49.386718, 8.045285 49.38582, 8.045344 49.385372, 8.045447 49.384928, 8.045626 49.384494, 8.045871 49.384075, 8.046186 49.383675, 8.04655 49.383294, 8.047362 49.382568, 8.04824 49.381874, 8.049945 49.380462, 8.05165 49.37905, 8.053356 49.377638, 8.053782 49.377285, 8.054233 49.376945, 8.054723 49.37663, 8.055249 49.37634, 8.055813 49.376083, 8.056405 49.375854, 8.057019 49.375652, 8.057647 49.375465, 8.058273 49.375279, 8.058909 49.375106, 8.059558 49.374956, 8.06021 49.374818, 8.061071 49.374688, 8.061771 49.374598, 8.064261 49.374279, 8.066962 49.373927, 8.06967 49.373602, 8.071024 49.37344, 8.071702 49.373361, 8.072383 49.373296, 8.073069 49.373261, 8.073757 49.373248, 8.074445 49.373256, 8.075133 49.373279, 8.075821 49.373304, 8.076507 49.373341, 8.07719 49.373392, 8.077872 49.373457, 8.078549 49.373538, 8.079223 49.373628, 8.081905 49.374036, 8.084586 49.374447, 8.085258 49.374545, 8.085937 49.37462, 8.086623 49.374658, 8.087311 49.374655, 8.087995 49.374606, 8.088668 49.374511, 8.089323 49.374374, 8.089953 49.374194, 8.090554 49.373974, 8.091117 49.373716, 8.091634 49.373419, 8.092112 49.373096, 8.093811 49.371682, 8.094287 49.371358, 8.094795 49.371054, 8.095336 49.370777, 8.095908 49.370527, 8.096511 49.37031, 8.097133 49.370118, 8.097766 49.36994, 8.098406 49.369776, 8.100983 49.369143, 8.102285 49.36885, 8.102594 49.368775))",xka_mrk_830,3280,0,5924,106710000,107300024,"67,1 + 0","73,0 + 24",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.8,"MULTILINESTRING ((8.102594 49.368775, 8.103577 49.368538, 8.10422 49.368377, 8.10484 49.368183, 8.105419 49.36794, 8.105948 49.367653, 8.106418 49.367325, 8.106817 49.366959, 8.107146 49.366565, 8.107393 49.366145, 8.10756 49.365709, 8.107639 49.365263, 8.107626 49.364815, 8.107541 49.364368, 8.1074 49.363929, 8.107223 49.363494, 8.106532 49.361753, 8.106379 49.361315, 8.10626 49.360872, 8.106189 49.360425, 8.106173 49.359976, 8.106216 49.359527, 8.106332 49.359085, 8.106531 49.358655, 8.106809 49.358244, 8.107158 49.357856, 8.107577 49.3575, 8.108056 49.357178, 8.108592 49.356896, 8.109178 49.356659, 8.109797 49.356466, 8.112448 49.355989, 8.113081 49.355814, 8.113688 49.355603, 8.114257 49.355351, 8.114783 49.355061, 8.115259 49.354737, 8.115688 49.354385, 8.116061 49.354008, 8.116419 49.353624, 8.116795 49.353246, 8.117209 49.352889, 8.117691 49.352568, 8.118228 49.352288, 8.118817 49.352055, 8.119435 49.351859, 8.119437 49.351858))",xka_mrk_830,3280,0,2576,107300024,107560000,"73,0 + 24","75,6 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.9,"MULTILINESTRING ((8.119437 49.351858, 8.120693 49.351494, 8.121984 49.351181, 8.122634 49.351033, 8.123292 49.350903, 8.123962 49.350799, 8.124637 49.350714, 8.125998 49.35058, 8.127366 49.350477, 8.130098 49.350259, 8.132829 49.350036, 8.13348 49.34998))",xka_mrk_830,3280,0,1048,107560000,107660048,"75,6 + 0",76.6 +    48,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,Fehll�nge ankommend
2019-01_DB-Netz-MRN_4326.10,"MULTILINESTRING ((8.13348 49.34998, 8.133494 49.349979))",xka_mrk_830,3280,0,0,107660048,107670000,76.6 +    48,76.7 +     0,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,Fehll�nge ankommend,Fehll�nge abgehend
2019-01_DB-Netz-MRN_4326.11,"MULTILINESTRING ((8.133494 49.349979, 8.134167 49.349921, 8.134181 49.34992, 8.13622 49.349743, 8.137108 49.349673, 8.137348 49.34966, 8.137589 49.34965, 8.139019 49.34968, 8.139524 49.349649, 8.140346 49.34961, 8.141717 49.349569, 8.142403 49.349546, 8.143089 49.349508, 8.144481 49.349484, 8.145166 49.349476, 8.146076 49.349485, 8.146403 49.349474, 8.146698 49.349481, 8.147211 49.349509, 8.147627 49.349553, 8.147883 49.349598, 8.148074 49.349627, 8.14862 49.349718, 8.149271 49.349826, 8.149888 49.349917, 8.150525 49.350086, 8.151147 49.350277))",xka_mrk_830,3280,0,1300,107670000,107800000,76.7 +     0,"78,0 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,Fehll�nge abgehend,
2019-01_DB-Netz-MRN_4326.12,"MULTILINESTRING ((8.151147 49.350277, 8.151148 49.350277, 8.151761 49.350481, 8.15236 49.350702, 8.152943 49.350941, 8.152988 49.350961))",xka_mrk_830,3280,0,154,107800000,107810054,"78,0 + 0","78,1 + 54",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.13,"MULTILINESTRING ((8.152988 49.350961, 8.153507 49.351198, 8.15405 49.351474, 8.154572 49.351767, 8.15507 49.352078, 8.155553 49.352398, 8.15747 49.353688, 8.158428 49.354334, 8.160345 49.355624, 8.160431 49.355683, 8.160632 49.355822, 8.160641 49.355828, 8.161304 49.356269, 8.161783 49.356592, 8.162272 49.356908, 8.162782 49.35721, 8.163313 49.357496, 8.16387 49.35776, 8.164449 49.358003, 8.165048 49.358224, 8.165665 49.358422, 8.166299 49.358597, 8.166947 49.358749, 8.167607 49.358876, 8.167612 49.358876))",xka_mrk_830,3280,0,1396,107810054,107950050,"78,1 + 54","79,5 + 50",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.14,"MULTILINESTRING ((8.167612 49.358876, 8.168274 49.358987, 8.168279 49.358987))",xka_mrk_830,3280,0,50,107950050,107960000,"79,5 + 50","79,6 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.15,"MULTILINESTRING ((8.168279 49.358987, 8.170954 49.359399, 8.173633 49.359812, 8.176313 49.360224, 8.178993 49.360636, 8.181673 49.361048, 8.184353 49.36146, 8.187033 49.361872, 8.189713 49.362283, 8.192393 49.362695, 8.195073 49.363106, 8.197754 49.363518, 8.200434 49.363929, 8.203114 49.36434, 8.205795 49.364751, 8.208475 49.365162, 8.211156 49.365573, 8.213836 49.365984, 8.216517 49.366395, 8.219197 49.366806, 8.221878 49.367217, 8.224559 49.367627, 8.22724 49.368038, 8.22992 49.368449, 8.232601 49.368859, 8.235282 49.36927, 8.237963 49.36968, 8.240644 49.37009, 8.243325 49.370501, 8.246006 49.370911, 8.248687 49.371321, 8.251476 49.371747, 8.253353 49.372035, 8.255498 49.372363, 8.258179 49.372773, 8.26086 49.373183, 8.263541 49.373593, 8.266223 49.374003, 8.268904 49.374413, 8.271585 49.374823, 8.274267 49.375233, 8.276948 49.375642, 8.27963 49.376052, 8.282312 49.376462, 8.284993 49.376871, 8.287675 49.377281, 8.290357 49.37769, 8.293039 49.378099, 8.295721 49.378508, 8.298402 49.378917, 8.301083 49.379327, 8.303769 49.379736, 8.305109 49.37994, 8.30779 49.380349, 8.310472 49.380758, 8.313155 49.381167, 8.315837 49.381576, 8.318521 49.381984, 8.320107 49.382224, 8.321202 49.382392, 8.322542 49.382596, 8.325258 49.382993, 8.329282 49.383734, 8.331763 49.384303, 8.334198 49.384993, 8.336824 49.385814, 8.339231 49.386704, 8.341583 49.387684, 8.34384 49.388675, 8.348387 49.390692, 8.352935 49.392698, 8.356368 49.394216, 8.359793 49.395734, 8.362076 49.396737, 8.364279 49.397801, 8.36595 49.398703, 8.367256 49.399431, 8.36843 49.40017, 8.370289 49.401416, 8.371253 49.402143, 8.373023 49.40356, 8.373823 49.40426, 8.374605 49.40499, 8.374641 49.405024))",xka_mrk_830,3280,0,16114,107960000,109570006,"79,6 + 0",95.7 +     6,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,Fehll�nge ankommend
2019-01_DB-Netz-MRN_4326.16,"MULTILINESTRING ((8.374641 49.405024, 8.374649 49.405032))",xka_mrk_830,3280,0,0,109570006,109600036,95.7 +     6,96.0 +    36,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,Fehll�nge ankommend,Fehll�nge abgehend
2019-01_DB-Netz-MRN_4326.17,"MULTILINESTRING ((8.374649 49.405032, 8.374869 49.405218, 8.375494 49.405886, 8.376229 49.406685, 8.376731 49.407208, 8.377237 49.407829, 8.377891 49.408628, 8.378573 49.409469, 8.379836 49.411013, 8.380473 49.411805, 8.381536 49.413107, 8.382418 49.414179, 8.38371 49.415772, 8.384352 49.416571, 8.384892 49.417238, 8.385638 49.41815, 8.386075 49.418672, 8.386802 49.419577, 8.387416 49.420353, 8.388217 49.421342, 8.3891 49.422483, 8.390011 49.423605, 8.390487 49.424214, 8.391591 49.425587, 8.392624 49.426854, 8.39316 49.427481, 8.393398 49.427765, 8.39428 49.428837, 8.395095 49.429801, 8.396263 49.431234, 8.397298 49.432502, 8.397796 49.433106, 8.39862 49.434127))",xka_mrk_830,3280,0,3674,109600036,109970010,96.0 +    36,"99,7 + 10",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,Fehll�nge abgehend,
2019-01_DB-Netz-MRN_4326.18,"MULTILINESTRING ((8.39862 49.434127, 8.398658 49.434175, 8.399329 49.434991, 8.39983 49.435606, 8.400517 49.436449, 8.400994 49.437032, 8.401524 49.437684, 8.40199 49.438255, 8.402574 49.43893, 8.403764 49.440381, 8.405059 49.441968, 8.40634 49.443562, 8.40697 49.444357, 8.407609 49.445157, 8.408902 49.446746, 8.40955 49.44754, 8.410845 49.449127, 8.412164 49.450706, 8.413478 49.452288, 8.414772 49.453876, 8.416066 49.455464, 8.417384 49.457043, 8.418696 49.458625, 8.419985 49.460215, 8.421093 49.461572, 8.421449 49.461989))",xka_mrk_830,3280,0,3515,109970010,110320025,"99,7 + 10","103,2 + 25",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.19,"MULTILINESTRING ((8.421449 49.461989, 8.421958 49.462586, 8.423292 49.46418, 8.424584 49.465749, 8.424731 49.465922))",xka_mrk_830,3280,0,498,110320025,110370023,"103,2 + 25","103,7 + 23",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.20,"MULTILINESTRING ((8.424731 49.465922, 8.424919 49.466142, 8.425273 49.466528, 8.425659 49.4669, 8.426063 49.467264, 8.426896 49.46798, 8.427305 49.468342, 8.4277 49.46871, 8.428072 49.469089, 8.428422 49.469477, 8.428745 49.469875, 8.428903 49.470086))",xka_mrk_830,3280,0,554,110370023,110420077,"103,7 + 23","104,2 + 77",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.21,"MULTILINESTRING ((8.428903 49.470086, 8.429047 49.470279, 8.42959 49.471103, 8.430032 49.471867, 8.430085 49.471944, 8.430138 49.472031, 8.430229 49.47218, 8.430432 49.472489, 8.430682 49.472882, 8.431133 49.473587, 8.431336 49.473908, 8.431715 49.47449, 8.431976 49.4749, 8.432211 49.475264, 8.432426 49.475579, 8.432504 49.475671, 8.432665 49.475854, 8.432868 49.476051, 8.433096 49.476236, 8.433315 49.476393, 8.433836 49.476688, 8.434412 49.476936, 8.434724 49.477034, 8.435041 49.47712, 8.435349 49.477181, 8.43571 49.477234, 8.436077 49.477265, 8.436399 49.477276, 8.436718 49.477268, 8.43699 49.47725, 8.437766 49.477165, 8.439116 49.476997, 8.439815 49.476911, 8.440467 49.476821, 8.440962 49.47675, 8.441309 49.476707, 8.441825 49.476655, 8.442394 49.476588, 8.442646 49.476553, 8.442958 49.476518, 8.443262 49.476494))",xka_mrk_830,3280,0,1529,110420077,110580006,"104,2 + 77","105,8 + 6",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.22,"MULTILINESTRING ((7.900742450812838 49.483099985389025, 7.900877 49.48325, 7.901149 49.483663, 7.90134 49.484095, 7.901455 49.484538, 7.901491 49.484986))",xka_mrk_830,3303,0,600,101200000,101260000,"12,0 + 0","12,6 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Kaiserslautern - Enkenbach,eingleisig,Nebenbahn,,
2019-01_DB-Netz-MRN_4326.23,"MULTILINESTRING ((7.901491 49.484986, 7.90147 49.485434, 7.90138 49.485724, 7.901308 49.485966, 7.901293 49.486053))",xka_mrk_830,3303,0,120,101260000,101270020,"12,6 + 0","12,7 + 20",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Kaiserslautern - Enkenbach,eingleisig,Nebenbahn,,
2019-01_DB-Netz-MRN_4326.24,"MULTILINESTRING ((7.906404240289213 49.444452463063904, 7.907232 49.444541, 7.908177 49.44465))",xka_mrk_830,3320,0,908,99919961,100000070,"-0,8 + -38","0,0 + 70",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hochspeyer - Bad M�nster,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.25,"MULTILINESTRING ((7.908177 49.44465, 7.908586 49.444697, 7.909238 49.444835, 7.909862 49.445025, 7.910433 49.445277, 7.910935 49.445584, 7.911365 49.445935, 7.911704 49.446326, 7.911939 49.446746, 7.912102 49.447184, 7.912316 49.448072, 7.912478 49.448509, 7.912694 49.448935, 7.91299 49.44934, 7.913327 49.449733, 7.914009 49.450494, 7.914021 49.450509, 7.914678 49.4513, 7.915014 49.451693, 7.915371 49.452077, 7.915767 49.452445, 7.916191 49.452799, 7.916727 49.453174))",xka_mrk_830,3320,0,1187,100000070,100120057,"0,0 + 70","1,2 + 57",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hochspeyer - Bad M�nster,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.26,"MULTILINESTRING ((7.916727 49.453174, 7.91807 49.454115, 7.918518 49.454457, 7.918923 49.45482, 7.919262 49.455211, 7.919533 49.455624, 7.919733 49.456054, 7.919855 49.456497, 7.919901 49.456945, 7.919867 49.457394, 7.91975 49.457836, 7.919575 49.458271, 7.918687 49.459973, 7.918318 49.460839, 7.917973 49.46171, 7.917973 49.461711))",xka_mrk_830,3320,0,1043,100120057,100230000,"1,2 + 57","2,3 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hochspeyer - Bad M�nster,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.27,"MULTILINESTRING ((7.917973 49.461711, 7.917284 49.463451, 7.916596 49.465192, 7.915907 49.466933, 7.915575 49.467806, 7.915216 49.468674, 7.91502 49.469105, 7.9148 49.469531, 7.914544 49.469948, 7.914257 49.470357, 7.913936 49.470755, 7.91359 49.471143, 7.912843 49.471899, 7.912056 49.472638, 7.910511 49.474128, 7.908965 49.475617, 7.908187 49.47636, 7.907421 49.477108, 7.906693 49.477871, 7.90598 49.478641, 7.90456 49.480183, 7.904201 49.480567, 7.903855 49.480956, 7.90353 49.481352, 7.903231 49.481757, 7.902968 49.482173, 7.902732 49.482595, 7.902327 49.483454, 7.901975 49.484324, 7.90133 49.485962, 7.901293 49.486053, 7.901161 49.486379))",xka_mrk_830,3320,0,3031,100230000,100530037,"2,3 + 0","5,3 + 37",nicht elektrifiziert,Pz/Gz-Bahn,ab 100 bis 120 km/h,Hochspeyer - Bad M�nster,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.28,"MULTILINESTRING ((7.901161 49.486379, 7.900957 49.486883, 7.9009533409048505 49.486892855313286))",xka_mrk_830,3320,0,381,100530037,100570018,"5,3 + 37","5,7 + 18",nicht elektrifiziert,Pz/Gz-Bahn,ab 100 bis 120 km/h,Hochspeyer - Bad M�nster,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.29,"MULTILINESTRING ((7.914009 49.450494, 7.913703 49.450091, 7.913392 49.44969, 7.913093 49.449284, 7.912826 49.44887, 7.912614 49.448443, 7.91246 49.448005, 7.912367 49.447559, 7.912356 49.44711, 7.912439 49.446664, 7.91262 49.446231, 7.91289 49.445818, 7.91325 49.445435, 7.913687 49.445087, 7.914197 49.444785, 7.914767 49.444535, 7.915381 49.44433, 7.916027 49.444174, 7.916678 49.444025, 7.917058 49.443929, 7.917428 49.443818))",xka_mrk_830,3321,0,958,100000000,100090058,"0,0 + 0","0,9 + 58",nicht elektrifiziert,Gz-Bahn,ab 50 bis 100 km/h,"Hochspeyer, W 50 - W 45",eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.30,"MULTILINESTRING ((8.367932 49.396259, 8.36743 49.395563, 8.36662 49.394561, 8.366181 49.394001, 8.365624 49.39332, 8.365307 49.39298, 8.36453 49.391966, 8.364504 49.391935))",xka_mrk_830,3400,0,542,99949987,100000030,"-0,5 + -12","0,0 + 30",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Schifferstadt - Berg,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.31,"MULTILINESTRING ((8.364504 49.391935, 8.364456 49.39188))",xka_mrk_830,3400,0,7,100000030,100000037,"0,0 + 30","0,0 + 37",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Schifferstadt - Berg,eingleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.32,"MULTILINESTRING ((8.364456 49.39188, 8.36369 49.390995, 8.363401 49.390585, 8.363296 49.390385, 8.363194 49.390151, 8.363134 49.389966, 8.363087 49.389704, 8.363101 49.38926, 8.363208 49.388819, 8.363379 49.388384, 8.363614 49.38796, 8.363902 49.387552, 8.364232 49.387158, 8.364411 49.386968))",xka_mrk_830,3400,0,588,100000037,100060025,"0,0 + 37","0,6 + 25",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Schifferstadt - Berg,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.33,"MULTILINESTRING ((8.364411 49.386968, 8.364955 49.386395))",xka_mrk_830,3400,0,75,100060025,100070000,"0,6 + 25","0,7 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Schifferstadt - Berg,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.34,"MULTILINESTRING ((8.364955 49.386395, 8.364957 49.386394, 8.365736 49.385651, 8.36725 49.38415, 8.368766 49.382648, 8.370281 49.381146, 8.371795 49.379645, 8.37331 49.378143, 8.374826 49.376642, 8.375582 49.375891))",xka_mrk_830,3400,0,1400,100070000,100210000,"0,7 + 0","2,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Schifferstadt - Berg,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.35,"MULTILINESTRING ((8.375582 49.375891, 8.37634 49.375139, 8.377204 49.374284, 8.378613 49.372887, 8.380127 49.371385, 8.381642 49.369883, 8.383156 49.368382, 8.38467 49.366879, 8.386185 49.365378, 8.387699 49.363875, 8.389213 49.362374, 8.390727 49.360871, 8.392239 49.359369, 8.393752 49.357866, 8.395265 49.356365, 8.396778 49.354862, 8.398291 49.35336, 8.399804 49.351858, 8.401318 49.350356, 8.402832 49.348853, 8.404344 49.347351, 8.405857 49.345849, 8.40737 49.344347, 8.408883 49.342845, 8.410394 49.341342, 8.411907 49.339839, 8.413419 49.338337, 8.413425 49.33833))",xka_mrk_830,3400,0,5000,100210000,100710000,"2,1 + 0","7,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Schifferstadt - Berg,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.36,"MULTILINESTRING ((8.413425 49.33833, 8.414931 49.336835, 8.415689 49.336084, 8.416084 49.335716, 8.416502 49.335359, 8.416959 49.335022, 8.417441 49.334701, 8.418455 49.334095, 8.419508 49.333516, 8.421589 49.33234, 8.422641 49.331745))",xka_mrk_830,3400,0,1000,100710000,100810000,"7,1 + 0","8,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Schifferstadt - Berg,zweigleisig,Hauptbahn,,
